,WT_PBS_Rep1,WT_PBS_Rep2,WT_PBS_Rep3,WT_BLM_Rep1,WT_BLM_Rep2,WT_BLM_Rep3,CA_PBS_Rep1,CA_PBS_Rep2,CA_PBS_Rep3,CA_BLM_Rep1,CA_BLM_Rep2,CA_BLM_Rep3,DN_PBS_Rep1,DN_PBS_Rep2,DN_PBS_Rep3,DN_BLM_Rep1,DN_BLM_Rep2,DN_BLM_Rep3
Genotype,WT,WT,WT,WT,WT,WT,CA,CA,CA,CA,CA,CA,DN,DN,DN,DN,DN,DN
Treatment,PBS,PBS,PBS,BLM,BLM,BLM,PBS,PBS,PBS,BLM,BLM,BLM,PBS,PBS,PBS,BLM,BLM,BLM
